id;UNIDAD;MUNICIPIO;Match_addr;ARC_Street;CODIGO;PERIODO;DIRECCION;Delito;x;y
28721;MEBOG;Bogota;CARRERA 96 23F 2, BOGOTA;KR 96 CL 23 F;110317078;2012;KR 96 CL 23 F;h_personas;-74,12935611;4,678040924
28722;MEBOG;Bogota;CL 170-9 2, BOGOTA;CL 170 KR 9;110317079;2012;CL 170 KR 9;h_personas;-74,02619198;4,749005829
28723;MEBOG;Bogota;CL 17A-98 53, BOGOTA;CL 17 A KR 98 53;110317080;2012;CL 17 A KR 98 53;h_personas;-74,1388717;4,672642538
28724;MEBOG;Bogota;KR 77I-70A S 2, BOGOTA;KR 77 I CL 70 A SUR;110317081;2012;KR 77 I CL 70 A SUR;h_personas;-74,18649809;4,599105679
28725;MEBOG;Bogota;CL 132A-98B 21, BOGOTA;CL 132 A KR 98 B 21;110317082;2012;CL 132 A KR 98 B 21;h_personas;-74,0878471;4,735219241
28726;MEBOG;Bogota;KR 80M-74 S 2, BOGOTA;KR 80 M CL 74 SUR;110317083;2012;KR 80 M CL 74 SUR;h_personas;-74,19536024;4,610075349
28727;MEBOG;Bogota;KR 78-72 25, BOGOTA;KR 78 CL 72 25;110317084;2012;KR 78 CL 72 25;h_personas;-74,09509307;4,692423063
28728;MEBOG;Bogota;KR 7-34 2, BOGOTA;KR 7 CL 34;110317085;2012;KR 7 CL 34;h_personas;-74,06136405;4,62177577
28729;MEBOG;Bogota;KR 91-139 6, BOGOTA;KR 91 CL 139 6;110317087;2012;KR 91 CL 139 6;h_personas;-74,0791444;4,738505773
28730;MEBOG;Bogota;CL 53-16C S 2, BOGOTA;CL 53 SUR KR 16 C;110317088;2012;CL 53 SUR KR 16 C;h_personas;-74,12263478;4,565695908
28731;MEBOG;Bogota;KR 19-127 2, BOGOTA;KR 19 CL 127;110317089;2012;KR 19 CL 127;h_personas;-74,03646819;4,714880039
28732;MEBOG;Bogota;KR 24-10 23, BOGOTA;KR 24 CL 10 23;110317090;2012;KR 24 CL 10 23;h_personas;-74,08483977;4,607633404
28733;MEBOG;Bogota;CL 37A-69B S 2, BOGOTA;CL 37 A SUR KR 69 B;110317091;2012;CL 37 A SUR KR 69 B;h_personas;-74,13357938;4,612534021
28734;MEBOG;Bogota;KR 68-4 1, BOGOTA;KR 68 CL 4 37;110317092;2012;KR 68 CL 4 37;h_personas;-74,15182104;4,587795923
28735;MEBOG;Bogota;CL 70A-11 2, BOGOTA;CL 70 A KR 11;110317093;2012;CL 70 A KR 11;h_personas;-74,05412614;4,65622857
28736;MEBOG;Bogota;KR 70-2 S 2, BOGOTA;KR 70 CL 2 SUR;110317094;2012;KR 70 CL 2 SUR;h_personas;-74,12629096;4,621263344
28737;MEBOG;Bogota;KR 5-13 40, BOGOTA;KR 5 . CL 13 . 40;110317095;2012;KR 5 . CL 13 . 40;h_personas;-74,06663764;4,599577349
28738;MEBOG;Bogota;CL 64-4 2, BOGOTA;CL 64 KR 4;110317096;2012;CL 64 KR 4;h_personas;-74,05124576;4,647449298
28739;MEBOG;Bogota;CL 113-7 21, BOGOTA;CL 113 KR 7 21;110317097;2012;CL 113 KR 7 21;h_personas;-74,02880194;4,692114157
28740;MEBOG;Bogota;KR 13-72 2, BOGOTA;KR 13 OCCIDENTE CL 72 NORTE;110317098;2012;KR 13 OCCIDENTE CL 72 NORTE;h_personas;-74,05458199;4,658899281
28741;MEBOG;Bogota;KR 27-15 S 2, BOGOTA;KR 27 CL 15 SUR;110317100;2012;KR 27 CL 15 SUR;h_personas;-74,09993693;4,593283422
28742;MEBOG;Bogota;KR 21-62 S 2, BOGOTA;KR 21 CL 62 SUR;110317101;2012;KR 21 CL 62 SUR;h_personas;-74,13873359;4,566083759
28743;MEBOG;Bogota;CL 63-50 2, BOGOTA;CL 63 KR 50;110317102;2012;CL 63 KR 50;h_personas;-74,07814583;4,654460418
28744;MEBOG;Bogota;DG 31B-24B S 74, BOGOTA;DG 31 B SUR KR 24 B 74;110317103;2012;DG 31 B SUR KR 24 B 74;h_personas;-74,10941264;4,585287171
28745;MEBOG;Bogota;CL 173-6 2, BOGOTA;CL 173 AU 6;110317105;2012;CL 173 AU 6;h_personas;-74,01724598;4,752508194
28746;MEBOG;Bogota;CL 8-82 2, BOGOTA;CL 8 KR 82;110317106;2012;CL 8 KR 82;h_personas;-74,1436763;4,644647398
28747;MEBOG;Bogota;KR 13-19 S 2, BOGOTA;KR 13 . CL 19 . SUR;110317109;2012;KR 13 . CL 19 . SUR;h_personas;-74,09313372;4,580833992
28748;MEBOG;Bogota;CL 100-9 2, BOGOTA;CL 100 KR 9;110317110;2012;CL 100 KR 9;h_personas;-74,03570782;4,682446033
